| customer_id | first_name  | last_name    | total_sales | movies_rented | store_id | country                               | district             | city                       |
+-------------+-------------+--------------+-------------+---------------+----------+---------------------------------------+----------------------+----------------------------+
|         526 | KARL        | SEAL         |      221.55 |            45 |        2 | United States                         | Florida              | Cape Coral                 |
|         148 | ELEANOR     | HUNT         |      216.54 |            46 |        1 | Runion                                | Saint-Denis          | Saint-Denis                |
|         144 | CLARA       | SHAW         |      195.58 |            42 |        1 | Belarus                               | Minsk                | Molodetno                  |
|         137 | RHONDA      | KENNEDY      |      194.61 |            39 |        2 | Netherlands                           | Gelderland           | Apeldoorn                  |
|         178 | MARION      | SNYDER       |      194.61 |            39 |        2 | Brazil                                | So Paulo             | Santa Brbara dOeste        |
|         459 | TOMMY       | COLLAZO      |      186.62 |            38 |        1 | Iran                                  | Esfahan              | Qomsheh                    |
|         469 | WESLEY      | BULL         |      177.60 |            40 |        2 | Spain                                 | Galicia              | Ourense (Orense)           |
|         468 | TIM         | CARY         |      175.61 |            39 |        1 | India                                 | Karnataka            | Bijapur                    |
|         236 | MARCIA      | DEAN         |      175.58 |            42 |        1 | Philippines                           | Southern Tagalog     | Tanza                      |
|         181 | ANA         | BRADLEY      |      174.66 |            34 |        2 | United States                         | Tennessee            | Memphis                    |
|         176 | JUNE        | CARROLL      |      173.63 |            37 |        1 | Algeria                               | Skikda               | Skikda                     |
|         259 | LENA        | JENSEN       |      170.67 |            32 |        2 | India                                 | West Bengali         | Halisahar                  |
|          50 | DIANE       | COLLINS      |      169.65 |            35 |        1 | Sudan                                 | Khartum              | Omdurman                   |
|         522 | ARNOLD      | HAVENS       |      167.67 |            33 |        2 | Philippines                           | Southern Tagalog     | Santa Rosa                 |
|         410 | CURTIS      | IRBY         |      167.62 |            38 |        2 | Canada                                | Ontario              | Richmond Hill              |
|         403 | MIKE        | WAY          |      166.65 |            35 |        1 | India                                 | Tamil Nadu           | Valparai                   |
|         295 | DAISY       | BATES        |      162.62 |            38 |        1 | Russian Federation                    | Pietari              | Kolpino                    |
|         209 | TONYA       | CHAPMAN      |      161.68 |            32 |        2 | India                                 | Rajasthan            | Bhilwara                   |
|         373 | LOUIS       | LEONE        |      161.65 |            35 |        1 | Philippines                           | Southern Tagalog     | Tanauan                    |
|         470 | GORDON      | ALLARD       |      160.68 |            32 |        1 | Yemen                                 | Hodeida              | Hodeida                    |
|         187 | BRITTANY    | RILEY        |      159.72 |            28 |        2 | Ukraine                               | Sumy                 | Sumy                       |
|         550 | GUY         | BROWNLEE     |      159.68 |            32 |        2 | China                                 | Zhejiang             | Zhoushan                   |
|         462 | WARREN      | SHERROD      |      159.67 |            33 |        2 | Russian Federation                    | Irkutsk              | Usolje-Sibirskoje          |
|         267 | MARGIE      | WADE         |      159.64 |            36 |        1 | China                                 | Hunan                | Lengshuijiang              |
|         293 | MAE         | FLETCHER     |      158.69 |            31 |        2 | Spain                                 | Baskimaa             | Donostia-San Sebastin      |
|         372 | STEVE       | MACKENZIE    |      158.66 |            34 |        2 | Indonesia                             | East Java            | Probolinggo                |
|         273 | PRISCILLA   | LOWE         |      157.65 |            35 |        2 | Mexico                                | Guanajuato           | Salamanca                  |
|         368 | HARRY       | ARCE         |      157.65 |            35 |        1 | Iran                                  | Esfahan              | Najafabad                  |
|         346 | ARTHUR      | SIMPKINS     |      155.68 |            32 |        1 | Russian Federation                    | Adygea               | Maikop                     |
|          21 | MICHELLE    | CLARK        |      155.65 |            35 |        1 | Bangladesh                            | Dhaka                | Tangail                    |
|          75 | TAMMY       | SANDERS      |      155.59 |            41 |        2 | Taiwan                                | Changhwa             | Changhwa                   |
|         197 | SUE         | PETERS       |      154.60 |            40 |        2 | China                                 | Jiangsu              | Changzhou                  |
|         119 | SHERRY      | MARSHALL     |      153.66 |            34 |        1 | Egypt                                 | al-Qalyubiya         | Shubra al-Khayma           |
|         532 | NEIL        | RENNER       |      152.68 |            32 |        2 | Vietnam                               | Khanh Hoa            | Cam Ranh                   |
|         390 | SHAWN       | HEATON       |      152.67 |            33 |        1 | Thailand                              | Nakhon Sawan         | Nakhon Sawan               |
|          26 | JESSICA     | HALL         |      152.66 |            34 |        2 | Holy See (Vatican City State)         |                      | Citt del Vaticano          |
|         274 | NAOMI       | JENNINGS     |      152.65 |            35 |        1 | India                                 | Haryana              | Karnal                     |
|         506 | LESLIE      | SEWARD       |      152.65 |            35 |        2 | Indonesia                             | Kalimantan Barat     | Pontianak                  |
|         366 | BRANDON     | HUEY         |      152.63 |            37 |        1 | Turkey                                | Balikesir            | Balikesir                  |
|           7 | MARIA       | MILLER       |      151.67 |            33 |        1 | Yugoslavia                            | Central Serbia       | Kragujevac                 |
|         454 | ALEX        | GRESHAM      |      151.67 |            33 |        2 | Mexico                                | Michoacn de Ocampo   | Uruapan                    |
|         211 | STACEY      | MONTGOMERY   |      151.66 |            34 |        1 | China                                 | Jilin                | Fuyu                       |
|         196 | ALMA        | AUSTIN       |      151.65 |            35 |        1 | Germany                               | Baden-Wrttemberg     | Mannheim                   |
|         439 | ALEXANDER   | FENNELL      |      151.64 |            36 |        2 | Italy                                 | Lombardia            | Bergamo                    |
|         257 | MARSHA      | DOUGLAS      |      151.63 |            37 |        2 | Mozambique                            | Sofala               | Beira                      |
|         360 | RALPH       | MADRIGAL     |      150.66 |            34 |        2 | Puerto Rico                           | Arecibo              | Arecibo                    |
